data,probabilidade_evento_atipico,is_temperatura_abaixo_media,temperatura_abaixo_media_obtida,temperatura_minima_media,is_temperatura_acima_media,temperatura_acima_media_obtida,temperatura_maxima_media,is_precipitacao_acima_media,precipitacao_acima_media_obtida,precipitacao_media,is_vento_acima_media,vento_acima_media_obtido,vento_media,media_utilizada
02/01,8.33,False,,24.0,False,,28.0,True,44.0,8.35,False,,11.8,"Temperatura Mínima: 24°C, Temperatura Máxima: 28°C, Precipitação: 8.345161290322581 mm, Vento Médio: 11.8 m/s"
03/01,8.33,False,,24.0,False,,28.0,True,15.0,8.35,False,,11.8,"Temperatura Mínima: 24°C, Temperatura Máxima: 28°C, Precipitação: 8.345161290322581 mm, Vento Médio: 11.8 m/s"
04/01,16.67,True,18.0,24.0,False,,28.0,True,14.0,8.35,False,,11.8,"Temperatura Mínima: 24°C, Temperatura Máxima: 28°C, Precipitação: 8.345161290322581 mm, Vento Médio: 11.8 m/s"
05/01,16.67,True,18.0,24.0,False,,28.0,True,32.0,8.35,False,,11.8,"Temperatura Mínima: 24°C, Temperatura Máxima: 28°C, Precipitação: 8.345161290322581 mm, Vento Médio: 11.8 m/s"
07/01,8.33,False,,24.0,False,,28.0,True,47.0,8.35,False,,11.8,"Temperatura Mínima: 24°C, Temperatura Máxima: 28°C, Precipitação: 8.345161290322581 mm, Vento Médio: 11.8 m/s"
08/01,8.33,False,,24.0,False,,28.0,True,15.0,8.35,False,,11.8,"Temperatura Mínima: 24°C, Temperatura Máxima: 28°C, Precipitação: 8.345161290322581 mm, Vento Médio: 11.8 m/s"
10/01,8.33,False,,24.0,False,,28.0,True,16.0,8.35,False,,11.8,"Temperatura Mínima: 24°C, Temperatura Máxima: 28°C, Precipitação: 8.345161290322581 mm, Vento Médio: 11.8 m/s"
15/01,8.33,False,,24.0,False,,28.0,True,36.0,8.35,False,,11.8,"Temperatura Mínima: 24°C, Temperatura Máxima: 28°C, Precipitação: 8.345161290322581 mm, Vento Médio: 11.8 m/s"
17/01,8.33,False,,24.0,False,,28.0,True,55.0,8.35,False,,11.8,"Temperatura Mínima: 24°C, Temperatura Máxima: 28°C, Precipitação: 8.345161290322581 mm, Vento Médio: 11.8 m/s"
18/01,8.33,False,,24.0,False,,28.0,True,15.0,8.35,False,,11.8,"Temperatura Mínima: 24°C, Temperatura Máxima: 28°C, Precipitação: 8.345161290322581 mm, Vento Médio: 11.8 m/s"
20/01,8.33,False,,24.0,False,,28.0,True,24.0,8.35,False,,11.8,"Temperatura Mínima: 24°C, Temperatura Máxima: 28°C, Precipitação: 8.345161290322581 mm, Vento Médio: 11.8 m/s"
21/01,8.33,False,,24.0,False,,28.0,True,54.0,8.35,False,,11.8,"Temperatura Mínima: 24°C, Temperatura Máxima: 28°C, Precipitação: 8.345161290322581 mm, Vento Médio: 11.8 m/s"
24/01,8.33,False,,24.0,False,,28.0,True,25.0,8.35,False,,11.8,"Temperatura Mínima: 24°C, Temperatura Máxima: 28°C, Precipitação: 8.345161290322581 mm, Vento Médio: 11.8 m/s"
26/01,8.33,False,,24.0,False,,28.0,True,17.0,8.35,False,,11.8,"Temperatura Mínima: 24°C, Temperatura Máxima: 28°C, Precipitação: 8.345161290322581 mm, Vento Médio: 11.8 m/s"
